"Student Counts by School and Gender"
"All Districts, All Schools"
"2015-16"

"",,,,"Gender",,
"Stamford School District","=""1350011""","Cloonan School","=""1355611""",250,291,541
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""",333,305,638
"Stamford School District","=""1350011""","Dolan School","=""1355311""",216,281,497
"Stamford School District","=""1350011""","Hart School","=""1352211""",282,346,628
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""",10,12,22
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""",302,309,611
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""",262,287,549
"Stamford School District","=""1350011""","Newfield School","=""1350611""",310,313,623
"Stamford School District","=""1350011""","Northeast School","=""1351811""",295,341,636
"Stamford School District","=""1350011""","Preschool Team","=""1358011""",18,39,57
"Stamford School District","=""1350011""","Rippowam Middle School","=""1355811""",425,374,799
"Stamford School District","=""1350011""","Rogers International School","=""1350811""",422,379,801
"Stamford School District","=""1350011""","Roxbury School","=""1350911""",289,329,618
"Stamford School District","=""1350011""","Scofield Middle School","=""1355711""",373,342,715
"Stamford School District","=""1350011""","Springdale School","=""1351111""",345,306,651
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",840,879,1719
"Stamford School District","=""1350011""","Stillmeadow School","=""1352111""",313,385,698
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",295,391,686
"Stamford School District","=""1350011""","Toquam Magnet School","=""1351911""",318,388,706
"Stamford School District","=""1350011""","Turn of River School","=""1355511""",308,276,584
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",1061,1035,2096
"Stamford School District","=""1350011""","Westover School","=""1351411""",382,384,766
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""",198,249,447
"Stonington School District","=""1370011""","Community Classroom","=""1370811""","*",0,"*"
"Stonington School District","=""1370011""","Deans Mill School","=""1370511""",186,201,387
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""",187,219,406
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""",134,135,269
"Stonington School District","=""1370011""","Stonington BOE Pre-School","=""1370111""",7,12,19
"Stonington School District","=""1370011""","Stonington HS PreK","=""1370211""",11,8,19
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",358,355,713
"Stonington School District","=""1370011""","West Broad Street School","=""1370411""",60,88,148
"Stonington School District","=""1370011""","West Vine Street School","=""1370611""",91,98,189
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""",239,266,505
"Stratford School District","=""1380011""","ABA Nichols","=""1382511""","*","*","*"
"Stratford School District","=""1380011""","ABA Second Hill Lane","=""1380611""","*","*","*"
"Stratford School District","=""1380011""","ABA Whitney","=""1382411""","*","*","*"
"Stratford School District","=""1380011""","ALPHA","=""1380511""",20,22,42
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",541,506,1047
"Stratford School District","=""1380011""","Chapel School","=""1380311""",246,272,518
"Stratford School District","=""1380011""","DLC Whitney","=""1382311""","*","*","*"
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""",276,272,548
"Stratford School District","=""1380011""","Franklin STEPS K-2","=""1382111""",0,"*","*"
"Stratford School District","=""1380011""","Franklin School","=""1380411""",138,143,281
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""",272,288,560
"Stratford School District","=""1380011""","High School STEPS 9-12","=""1382011""",0,6,6
"Stratford School District","=""1380011""","High School Sails","=""1380711""","*","*",10
"Stratford School District","=""1380011""","IPP Classroom - Johnson","=""1381111""",0,6,6
"Stratford School District","=""1380011""","Johnson House STEPS 3-6","=""1381211""","*","*",8
"Stratford School District","=""1380011""","Lordship School","=""1380811""",132,124,256
"Stratford School District","=""1380011""","Middle School STEPS 7-8","=""1381911""","*","*","*"
"Stratford School District","=""1380011""","Middle School Sails","=""1381811""","*","*","*"
"Stratford School District","=""1380011""","Nichols School","=""1380911""",207,212,419
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""",316,302,618
"Stratford School District","=""1380011""","Steps K-2 Nichols","=""1382611""","*","*","*"
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""",210,201,411
"Stratford School District","=""1380011""","Stratford Academy - Victoria Soto School","=""1382211""",143,134,277
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",460,487,947
"Stratford School District","=""1380011""","Strive-Stratford","=""1389011""",6,8,14
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""",158,183,341
"Suffield School District","=""1390011""","A. Ward Spaulding School","=""1390411""",229,269,498
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""",247,219,466
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",421,407,828
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""",284,277,561
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",151,128,279
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",232,321,553
"Thomaston School District","=""1400011""","Black Rock School","=""1400111""",132,137,269
"Thomaston School District","=""1400011""","Thomaston Center School","=""1400211""",120,95,215
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",200,210,410
"Thompson School District","=""1410011""","District Autism Program","=""1410211""",0,"*","*"
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""",174,213,387
"Thompson School District","=""1410011""","Thompson Middle School","=""1415111""",154,179,333
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",132,142,274
"Tolland School District","=""1420011""","Birch Grove Primary School","=""1420111""",257,272,529
"Tolland School District","=""1420011""","TALC","=""1420311""","*","*",11
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",429,399,828
"Tolland School District","=""1420011""","Tolland Intermediate School","=""1420211""",257,288,545
"Tolland School District","=""1420011""","Tolland Middle School","=""1425111""",341,323,664
"Torrington School District","=""1430011""","East School","=""1430111""",166,181,347
"Torrington School District","=""1430011""","ABC / Forbes School","=""1431511""",0,"*","*"
"Torrington School District","=""1430011""","ABC / Torringford","=""1432411""",0,"*","*"
"Torrington School District","=""1430011""","East TPS - PreK - Reg Ed","=""1432211""",21,21,42
"Torrington School District","=""1430011""","Forbes School","=""1430211""",172,212,384
"Torrington School District","=""1430011""","Pre-K SpEd","=""1431611""",6,11,17
"Torrington School District","=""1430011""","Southwest School","=""1430811""",144,169,313
"Torrington School District","=""1430011""","Torringford Community Outreach","=""1432311""","*","*",7
"Torrington School District","=""1430011""","Torringford School","=""1430911""",290,337,627
"Torrington School District","=""1430011""","Torrington Expulsion Program","=""1431411""","*","*",7
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",437,518,955
"Torrington School District","=""1430011""","Torrington Middle School","=""1435111""",480,534,1014
"Torrington School District","=""1430011""","Vogel-Wetmore School","=""1431311""",201,236,437
"Trailblazers Academy District","=""2780013""","Trailblazers Academy","=""2785113""",58,67,125
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""",223,233,456
"Trumbull School District","=""1440011""","Daniels Farm School","=""1440811""",233,227,460
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""",268,286,554
"Trumbull School District","=""1440011""","Hillcrest Middle School","=""1445211""",381,388,769
"Trumbull School District","=""1440011""","Jane Ryan School","=""1440411""",181,196,377
"Trumbull School District","=""1440011""","Madison Middle School","=""1445111""",405,387,792
"Trumbull School District","=""1440011""","Middlebrook School","=""1440311""",244,253,497
"Trumbull School District","=""1440011""","Tashua School","=""1440911""",185,216,401
"Trumbull School District","=""1440011""","Trumbull Early Childhood Education Center","=""1448011""",91,118,209
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",1141,1010,2151
"Unified School District #1","=""3360015""","Bridgeport Correctional Center","=""3360115""",0,6,6
"Unified School District #1","=""3360015""","Brooklyn Correctional Institution","=""3360215""",0,"*","*"
"Unified School District #1","=""3360015""","Cheshire Correctional Institution","=""3360315""",0,10,10
"Unified School District #1","=""3360015""","Corrigan/Radgowski Correctional Institution","=""3362415""",0,11,11
"Unified School District #1","=""3360015""","Enfield Correctional Institution","=""3360415""",0,"*","*"
"Unified School District #1","=""3360015""","Garner Correctional Institution","=""3361915""",0,17,17
"Unified School District #1","=""3360015""","Hartford Correctional Center","=""3360615""",0,8,8
"Unified School District #1","=""3360015""","MacDougall/Walker Correctional Institution","=""3362215""",0,7,7
"Unified School District #1","=""3360015""","Manson Youth Institution","=""3361115""","*","*",295
"Unified School District #1","=""3360015""","New Haven Correctional Center","=""3360915""",0,"*","*"
"Unified School District #1","=""3360015""","Northern Correctional Institution","=""3362615""",0,7,7
"Unified School District #1","=""3360015""","Osborn Correctional Institution","=""3361215""",0,7,7
"Unified School District #1","=""3360015""","Robinson Correctional Institution","=""3361315""",0,"*","*"
"Unified School District #1","=""3360015""","Willard/Cybulski Correctional Institution","=""3361515""",0,"*","*"
"Unified School District #1","=""3360015""","York Correctional Institution","=""3362515""",11,0,11
"Unified School District #2","=""3470015""","Children's Place School","=""3470115""",0,28,28
"Unified School District #2","=""3470015""","Riverview School","=""3470315""",45,16,61
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""","*","*",62
"Union School District","=""1450011""","Union Elementary School","=""1450111""",42,38,80
"Vernon School District","=""1460011""","Northeast School","=""1460311""",156,166,322
"Vernon School District","=""1460011""","Center Road School","=""1461411""",245,257,502
"Vernon School District","=""1460011""","Lake Street School","=""1460111""",103,116,219
"Vernon School District","=""1460011""","Loveland Hill School","=""1460511""","*","*",10
"Vernon School District","=""1460011""","Maple Street School","=""1460211""",126,148,274
"Vernon School District","=""1460011""","Next Step Program (AACBP)","=""1469011""","*","*",7
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",439,381,820
"Vernon School District","=""1460011""","Skinner Road School","=""1461011""",169,165,334
"Vernon School District","=""1460011""","VPS PreK Collaborative - YMCA","=""1460711""","*","*",8
"Vernon School District","=""1460011""","Vernon Center Middle School","=""1465111""",330,352,682
"Voluntown School District","=""1470011""","Voluntown Elementary School","=""1470111""",137,159,296
"Wallingford School District","=""1480011""","Highland School","=""1480211""",147,160,307
"Wallingford School District","=""1480011""","A.R.T.S. Academy","=""1489011""","*","*",17
"Wallingford School District","=""1480011""","Cook Hill School","=""1481011""",172,193,365
"Wallingford School District","=""1480011""","Dag Hammarskjold Middle School","=""1485211""",369,364,733
"Wallingford School District","=""1480011""","Education Enhancement Program","=""1480511""",8,11,19
"Wallingford School District","=""1480011""","Evarts C. Stevens School","=""1480911""",160,169,329
"Wallingford School District","=""1480011""","Harvest Park","=""1489211""",0,9,9
"Wallingford School District","=""1480011""","James H. Moran Middle School","=""1485311""",349,347,696
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",593,480,1073
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",433,416,849
"Wallingford School District","=""1480011""","Moses Y. Beach School","=""1480111""",161,170,331
"Wallingford School District","=""1480011""","Multi-Vocational Life Skills Program","=""1489111""","*","*",9
"Wallingford School District","=""1480011""","Parker Farms School","=""1480311""",138,129,267
"Wallingford School District","=""1480011""","Pond Hill School","=""1481211""",148,178,326
"Wallingford School District","=""1480011""","Rock Hill School","=""1480411""",172,165,337
"Wallingford School District","=""1480011""","Yalesville School","=""1480811""",145,176,321
"Waterbury School District","=""1510011""","West Side Middle School","=""1515211""",477,543,1020
"Waterbury School District","=""1510011""","Washington School","=""1512311""",141,169,310
"Waterbury School District","=""1510011""","B. W. Tinker School","=""1512111""",269,322,591
"Waterbury School District","=""1510011""","B.W. Tinker BDLC","=""1510411""","*","*",11
"Waterbury School District","=""1510011""","Bucks Hill School","=""1510511""",291,284,575
"Waterbury School District","=""1510011""","Bunker Hill BDLC","=""1510111""",0,15,15
"Waterbury School District","=""1510011""","Bunker Hill School","=""1510611""",249,246,495
"Waterbury School District","=""1510011""","Carrington ESC","=""1511911""","*","*",13
"Waterbury School District","=""1510011""","Carrington School","=""1512711""",255,249,504
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""",543,649,1192
"Waterbury School District","=""1510011""","Crosby NVCC (Waterbury Transition Learning Center)","=""1514011""","*","*",15
"Waterbury School District","=""1510011""","Driggs School","=""1510911""",243,272,515
"Waterbury School District","=""1510011""","Duggan CBL","=""1513611""","*","*",8
"Waterbury School District","=""1510011""","Duggan School","=""1511611""",231,232,463
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""",50,89,139
"Waterbury School District","=""1510011""","Excel II","=""1513811""",0,"*","*"
"Waterbury School District","=""1510011""","Excel III","=""1513911""","*","*",6
"Waterbury School District","=""1510011""","F. J. Kingsbury School","=""1511411""",261,280,541
"Waterbury School District","=""1510011""","Gilmartin School","=""1512611""",235,244,479
"Waterbury School District","=""1510011""","H. S. Chase School","=""1510711""",361,427,788
"Waterbury School District","=""1510011""","Hopeville School","=""1511311""",237,253,490
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""",644,657,1301
"Waterbury School District","=""1510011""","Maloney Interdistrict Magnet School","=""1513111""",295,295,590
"Waterbury School District","=""1510011""","Maloney Prek","=""1519811""",15,15,30
"Waterbury School District","=""1510011""","Margaret M. Generali Autism","=""1513511""",6,20,26
"Waterbury School District","=""1510011""","Margaret M. Generali Elementary School","=""1511111""",265,292,557
"Waterbury School District","=""1510011""","Michael F. Wallace Autism","=""1512911""","*","*",19
"Waterbury School District","=""1510011""","Michael F. Wallace Middle School","=""1515111""",600,582,1182
"Waterbury School District","=""1510011""","North End ESC","=""1511811""",0,"*","*"
"Waterbury School District","=""1510011""","North End Middle School","=""1515311""",464,525,989
"Waterbury School District","=""1510011""","Reed ESC","=""1512411""",7,13,20
"Waterbury School District","=""1510011""","Reed School","=""1513411""",197,237,434
"Waterbury School District","=""1510011""","Regan School","=""1512811""",126,130,256
"Waterbury School District","=""1510011""","Rotella Interdistrict Magnet School","=""1513311""",316,297,613
"Waterbury School District","=""1510011""","Special Education Preschool","=""1518011""",85,132,217
"Waterbury School District","=""1510011""","Sprague School","=""1512011""",216,249,465
"Waterbury School District","=""1510011""","State Street School","=""1519011""",19,40,59
"Waterbury School District","=""1510011""","Walsh School","=""1512211""",182,190,372
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""",327,161,488
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (Middle)","=""1515011""",213,118,331
"Waterbury School District","=""1510011""","Waterbury Career Academy","=""1516711""",388,305,693
"Waterbury School District","=""1510011""","Wendell L. Cross School","=""1510811""",156,168,324
"Waterbury School District","=""1510011""","Wilby ESC","=""1511711""","*","*","*"
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""",508,664,1172
"Waterbury School District","=""1510011""","Woodrow Wilson BDLC","=""1511211""","*","*",17
"Waterbury School District","=""1510011""","Woodrow Wilson School","=""1513211""",195,236,431
"Waterford School District","=""1520011""","Autism Class","=""1521111""",0,"*","*"
"Waterford School District","=""1520011""","Avery Point Transition Program","=""1520311""","*","*",6
"Waterford School District","=""1520011""","Clark Lane Middle School","=""1525111""",330,339,669
"Waterford School District","=""1520011""","Great Neck Elementary School","=""1520211""",164,150,314
"Waterford School District","=""1520011""","Oswegatchie Elementary School","=""1520611""",184,170,354
"Waterford School District","=""1520011""","Quaker Hill Elementary School","=""1520711""",162,182,344
"Waterford School District","=""1520011""","Waterford High School","=""1526111""",405,413,818
"Waterford School District","=""1520011""","Waterford High School Tutor Center","=""1521211""","*","*","*"
"Watertown School District","=""1530011""","Fletcher W. Judson School","=""1530311""",125,164,289
"Watertown School District","=""1530011""","John Trumbull Primary School","=""1530211""",270,367,637
"Watertown School District","=""1530011""","Polk School","=""1530411""",176,184,360
"Watertown School District","=""1530011""","Swift Middle School","=""1535111""",314,351,665
"Watertown School District","=""1530011""","Watertown High School","=""1536111""",423,437,860
"West Hartford School District","=""1550011""","Smith School","=""1551711""",171,188,359
"West Hartford School District","=""1550011""","Achieve","=""1559111""","*","*",10
"West Hartford School District","=""1550011""","Aiken School","=""1551611""",200,217,417
"West Hartford School District","=""1550011""","Braeburn Learning Center","=""1559311""","*","*",6
"West Hartford School District","=""1550011""","Braeburn School","=""1550211""",172,192,364
"West Hartford School District","=""1550011""","Bristow Middle School","=""1555311""",214,208,422
"West Hartford School District","=""1550011""","Bugbee School","=""1550411""",233,197,430
"West Hartford School District","=""1550011""","Charter Oak International Academy","=""1550511""",175,147,322
"West Hartford School District","=""1550011""","Conard High School","=""1556111""",741,799,1540
"West Hartford School District","=""1550011""","Duffy School","=""1550611""",250,237,487
"West Hartford School District","=""1550011""","Hall High School","=""1556211""",737,726,1463
"West Hartford School District","=""1550011""","King Philip Middle School","=""1555111""",447,492,939
"West Hartford School District","=""1550011""","Morley School","=""1550911""",151,150,301
"West Hartford School District","=""1550011""","Norfeldt Learning Center","=""1559411""","*","*",8
"West Hartford School District","=""1550011""","Norfeldt School","=""1551011""",161,186,347
"West Hartford School District","=""1550011""","REACH","=""1557311""",18,18,36
"West Hartford School District","=""1550011""","Sedgwick Middle School","=""1555211""",414,447,861
"West Hartford School District","=""1550011""","Strive-West Hartford","=""1559211""",8,21,29
"West Hartford School District","=""1550011""","WAAVE (W Hartford Applied Academic/Voc'l Experience)","=""1559011""","*","*",12
"West Hartford School District","=""1550011""","Webster Hill School","=""1551211""",225,205,430
"West Hartford School District","=""1550011""","Whiting Lane Learning Center","=""1559511""",0,8,8
"West Hartford School District","=""1550011""","Whiting Lane School","=""1551311""",196,241,437
"West Hartford School District","=""1550011""","Wolcott Learning Center","=""1559611""","*","*",8
"West Hartford School District","=""1550011""","Wolcott School","=""1551511""",231,236,467
"West Haven School District","=""1560011""","Washington School","=""1561211""",222,247,469
"West Haven School District","=""1560011""","Life Skills","=""1560111""","*","*",6
"West Haven School District","=""1560011""","ASD Lab","=""1561111""","*","*",10
"West Haven School District","=""1560011""","Alma E. Pagels School","=""1560811""",120,220,340
"West Haven School District","=""1560011""","Blended","=""1560711""","*","*",17
"West Haven School District","=""1560011""","Blended (Molloy)","=""1560511""",9,8,17
"West Haven School District","=""1560011""","Carrigan 5/6 Intermediate School","=""1565311""",464,437,901
"West Haven School District","=""1560011""","Edith E. Mackrille School","=""1560611""",141,159,300
"West Haven School District","=""1560011""","Forest School","=""1560311""",236,225,461
"West Haven School District","=""1560011""","Harry M. Bailey Middle School","=""1565111""",404,438,842
"West Haven School District","=""1560011""","PACE","=""1560211""",9,27,36
"West Haven School District","=""1560011""","Savin Rock Community School","=""1561411""",242,239,481
"West Haven School District","=""1560011""","Seth G. Haley School","=""1560411""",209,210,419
"West Haven School District","=""1560011""","West Haven High School","=""1566111""",731,725,1456
"Westbrook School District","=""1540011""","Daisy Ingraham School","=""1540211""",137,124,261
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""",146,141,287
"Westbrook School District","=""1540011""","Westbrook Middle School","=""1545111""",98,129,227
"Weston School District","=""1570011""","Hurlbutt Elementary School","=""1570111""",217,229,446
"Weston School District","=""1570011""","Weston High School","=""1576111""",396,444,840
"Weston School District","=""1570011""","Weston Intermediate School","=""1570211""",259,272,531
"Weston School District","=""1570011""","Weston Middle School","=""1575111""",266,316,582
"Westport School District","=""1580011""","Bedford Middle School","=""1585111""",392,443,835
"Westport School District","=""1580011""","CES Segregated","=""1580111""",0,7,7
"Westport School District","=""1580011""","Coleytown Elementary School","=""1580311""",189,215,404
"Westport School District","=""1580011""","Coleytown Middle School","=""1585311""",270,258,528
"Westport School District","=""1580011""","Green's Farms School","=""1580411""",211,200,411
"Westport School District","=""1580011""","Green's Farms Segregated","=""1580211""","*","*","*"
"Westport School District","=""1580011""","King's Highway Elementary School","=""1580511""",244,241,485
"Westport School District","=""1580011""","King's Highway Segregated","=""1580611""","*","*",6
"Westport School District","=""1580011""","Long Lots School","=""1580711""",280,280,560
"Westport School District","=""1580011""","Saugatuck Elementary School","=""1580811""",240,276,516
"Westport School District","=""1580011""","Staples High School","=""1586111""",924,961,1885
"Westport School District","=""1580011""","Stepping Stones Preschool","=""1588011""",22,28,50
"Wethersfield School District","=""1590011""","Alfred W. Hanmer School","=""1590811""",174,179,353
"Wethersfield School District","=""1590011""","Charles Wright School","=""1591011""",165,161,326
"Wethersfield School District","=""1590011""","Emerson-Williams School","=""1590211""",206,218,424
"Wethersfield School District","=""1590011""","Highcrest School","=""1591111""",228,198,426
"Wethersfield School District","=""1590011""","Samuel B. Webb Elementary School","=""1591211""",169,193,362
"Wethersfield School District","=""1590011""","Silas Deane Middle School","=""1595211""",276,268,544
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""",589,596,1185
"Willington School District","=""1600011""","Center School","=""1600111""",115,133,248
"Willington School District","=""1600011""","Hall Memorial School","=""1605111""",86,100,186
"Wilton School District","=""1610011""","Middlebrook School","=""1615211""",483,535,1018
"Wilton School District","=""1610011""","Cider Mill School","=""1610711""",505,466,971
"Wilton School District","=""1610011""","Miller-Driscoll School","=""1610511""",375,438,813
"Wilton School District","=""1610011""","Wilton High School","=""1616111""",692,644,1336
"Wilton School District","=""1610011""","Wilton-Westport Evening School","=""1610111""","*","*","*"
"Winchester School District","=""1620011""","Batcheller Early Education Center","=""1620411""",61,88,149
"Winchester School District","=""1620011""","Mary P. Hinsdale School","=""1620211""",104,133,237
"Winchester School District","=""1620011""","Pearson Middle School","=""1625111""",92,79,171
"Windham School District","=""1630011""","Charles H. Barrows STEM Academy","=""1630411""",273,278,551
"Windham School District","=""1630011""","Early Headstart","=""1638011""",10,13,23
"Windham School District","=""1630011""","Natchaug School","=""1630111""",132,186,318
"Windham School District","=""1630011""","North Windham ASD Program","=""1630811""","*","*","*"
"Windham School District","=""1630011""","North Windham School","=""1630311""",244,228,472
"Windham School District","=""1630011""","Sweeney Medically Fragile Program","=""1630911""","*","*","*"
"Windham School District","=""1630011""","W. B. Sweeney School","=""1630611""",131,133,264
"Windham School District","=""1630011""","Windham Center School","=""1630511""",129,146,275
"Windham School District","=""1630011""","Windham Early Childhood Prospect Street","=""1638311""",94,92,186
"Windham School District","=""1630011""","Windham Early Childhood Tuckie Road","=""1631011""",19,28,47
"Windham School District","=""1630011""","Windham High School","=""1636111""",230,331,561
"Windham School District","=""1630011""","Windham Middle School","=""1635111""",274,289,563
"Windsor Locks School District","=""1650011""","North Street School","=""1650111""",217,211,428
"Windsor Locks School District","=""1650011""","Pine Meadow Academy","=""1650611""",12,19,31
"Windsor Locks School District","=""1650011""","RISE Transition Academy","=""1650211""","*","*",8
"Windsor Locks School District","=""1650011""","South Elementary School","=""1650411""",199,182,381
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""",205,229,434
"Windsor Locks School District","=""1650011""","Windsor Locks Middle School","=""1655111""",163,185,348
"Windsor School District","=""1640011""","Clover Street School","=""1640111""",145,143,288
"Windsor School District","=""1640011""","Community Based Transition Academy","=""1640211""","*","*",11
"Windsor School District","=""1640011""","Expulsion","=""1640411""","*","*","*"
"Windsor School District","=""1640011""","John F. Kennedy School","=""1640811""",188,218,406
"Windsor School District","=""1640011""","Oliver Ellsworth School","=""1640911""",186,219,405
"Windsor School District","=""1640011""","Plato Credit Recovery","=""1640611""","*",0,"*"
"Windsor School District","=""1640011""","Poquonock Elementary School","=""1640511""",128,158,286
"Windsor School District","=""1640011""","Sage Park Middle School","=""1645311""",317,356,673
"Windsor School District","=""1640011""","Spark","=""1640311""",6,6,12
"Windsor School District","=""1640011""","Windsor High School","=""1646111""",544,552,1096
"Wolcott School District","=""1660011""","ABC Classroom","=""1660311""","*","*","*"
"Wolcott School District","=""1660011""","Alcott School","=""1660611""",133,152,285
"Wolcott School District","=""1660011""","Frisbie School","=""1660211""",153,159,312
"Wolcott School District","=""1660011""","Phoenix Program","=""1660411""",0,"*","*"
"Wolcott School District","=""1660011""","Tyrrell Middle School","=""1665111""",295,309,604
"Wolcott School District","=""1660011""","Wakelee School","=""1660511""",148,181,329
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""",384,416,800
"Woodbridge School District","=""1670011""","Beecher Road School","=""1670311""",387,384,771
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""",536,486,1022
"Woodstock School District","=""1690011""","Woodstock Elementary School","=""1690211""",222,202,424
"Woodstock School District","=""1690011""","Woodstock Middle School","=""1695111""",213,219,432

